,Year,Category,Prize,Motivation,Prize Share,Laureate ID,Laureate Type,Full Name,Birth Date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country,Death Date,Death City,Death Country,Moved
403,1968,Medicine,The Nobel Prize in Physiology or Medicine 1968,"""for their interpretation of the genetic code and its function in protein synthesis""",3-Jan,388,Individual,Robert W. Holley,1/28/1922,"Urbana, IL",United States of America,Male,Cornell University,"Ithaca, NY",United States of America,2/11/1993,"Los Gatos, CA",United States of America,no
404,1968,Medicine,The Nobel Prize in Physiology or Medicine 1968,"""for their interpretation of the genetic code and its function in protein synthesis""",3-Jan,389,Individual,Har Gobind Khorana,1/9/1922,Raipur,India,Male,University of Wisconsin,"Madison, WI",United States of America,11/9/2011,"Concord, MA",United States of America,yes
405,1968,Medicine,The Nobel Prize in Physiology or Medicine 1968,"""for their interpretation of the genetic code and its function in protein synthesis""",3-Jan,390,Individual,Marshall W. Nirenberg,4/10/1927,"New York, NY",United States of America,Male,National Institutes of Health,"Bethesda, MD",United States of America,1/15/2010,"New York, NY",United States of America,no
407,1968,Physics,The Nobel Prize in Physics 1968,"""for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis""",1-Jan,89,Individual,Luis Walter Alvarez,6/13/1911,"San Francisco, CA",United States of America,Male,University of California,"Berkeley, CA",United States of America,9/1/1988,"Berkeley, CA",United States of America,no
408,1969,Chemistry,The Nobel Prize in Chemistry 1969,"""for their contributions to the development of the concept of conformation and its application in chemistry""",2-Jan,237,Individual,Derek H. R. Barton,9/8/1918,Gravesend,United Kingdom,Male,Imperial College,London,United Kingdom,3/16/1998,"College Station, TX",United States of America,no
409,1969,Chemistry,The Nobel Prize in Chemistry 1969,"""for their contributions to the development of the concept of conformation and its application in chemistry""",2-Jan,238,Individual,Odd Hassel,1897-05-17,Kristiania (Oslo),Norway,Male,University of Oslo,Oslo,Norway,5/11/1981,Oslo,Norway,no
410,1969,Economics,The Sveriges Riksbank Prize in Economic Sciences 1969,"""for having developed and applied dynamic models for the analysis of economic processes""",2-Jan,677,Individual,Ragnar Frisch,1895-03-03,Oslo,Norway,Male,University of Oslo,Oslo,Norway,1/31/1973,Oslo,Norway,no
411,1969,Economics,The Sveriges Riksbank Prize in Economic Sciences 1969,"""for having developed and applied dynamic models for the analysis of economic processes""",2-Jan,678,Individual,Jan Tinbergen,4/12/1903,the Hague,Netherlands,Male,The Netherlands School of Economics,Rotterdam,Netherlands,6/9/1994,the Hague,Netherlands,no
413,1969,Medicine,The Nobel Prize in Physiology or Medicine 1969,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",3-Jan,391,Individual,Max Delbrück,9/4/1906,Berlin,Germany,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,3/9/1981,"Pasadena, CA",United States of America,yes
414,1969,Medicine,The Nobel Prize in Physiology or Medicine 1969,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",3-Jan,392,Individual,Alfred D. Hershey,12/4/1908,"Owosso, MI",United States of America,Male,Carnegie Institution of Washington,"Long Island, New York, NY",United States of America,5/22/1997,"Syosset, NY",United States of America,no
415,1969,Medicine,The Nobel Prize in Physiology or Medicine 1969,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",3-Jan,393,Individual,Salvador E. Luria,8/13/1912,Torino,Italy,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,2/6/1991,"Lexington, MA",United States of America,yes
417,1969,Physics,The Nobel Prize in Physics 1969,"""for his contributions and discoveries concerning the classification of elementary particles and their interactions""",1-Jan,90,Individual,Murray Gell-Mann,9/15/1929,"New York, NY",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,,,,no
418,1970,Chemistry,The Nobel Prize in Chemistry 1970,"""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates""",1-Jan,239,Individual,Luis F. Leloir,9/6/1906,Paris,France,Male,Institute for Biochemical Research,Buenos Aires,Argentina,12/2/1987,Buenos Aires,Argentina,yes
419,1970,Economics,The Sveriges Riksbank Prize in Economic Sciences 1970,"""for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science""",1-Jan,679,Individual,Paul A. Samuelson,5/15/1915,"Gary, IN",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,12/13/2009,"Belmont, MA",United States of America,no
421,1970,Medicine,The Nobel Prize in Physiology or Medicine 1970,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",3-Jan,394,Individual,Sir Bernard Katz,3/26/1911,Leipzig,Germany,Male,University College,London,United Kingdom,4/20/2003,London,United Kingdom,yes
422,1970,Medicine,The Nobel Prize in Physiology or Medicine 1970,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",3-Jan,395,Individual,Ulf von Euler,2/7/1905,Stockholm,Sweden,Male,Karolinska Institutet,Stockholm,Sweden,3/9/1983,Stockholm,Sweden,no
423,1970,Medicine,The Nobel Prize in Physiology or Medicine 1970,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",3-Jan,396,Individual,Julius Axelrod,5/30/1912,"New York, NY",United States of America,Male,National Institutes of Health,"Bethesda, MD",United States of America,12/29/2004,"Rockville, MD",United States of America,no
425,1970,Physics,The Nobel Prize in Physics 1970,"""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics""",2-Jan,91,Individual,Hannes Olof Gösta Alfvén,5/30/1908,Norrköping,Sweden,Male,Royal Institute of Technology,Stockholm,Sweden,4/2/1995,Djursholm,Sweden,no
426,1970,Physics,The Nobel Prize in Physics 1970,"""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics""",2-Jan,92,Individual,Louis Eugène Félix Néel,11/22/1904,Lyon,France,Male,University of Grenoble,Grenoble,France,11/17/2000,Brive-Corrèze,France,no
427,1971,Chemistry,The Nobel Prize in Chemistry 1971,"""for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals""",1-Jan,240,Individual,Gerhard Herzberg,12/25/1904,Hamburg,Germany,Male,National Research Council of Canada,Ottawa,Canada,3/3/1999,Ottawa,Canada,yes
428,1971,Economics,The Sveriges Riksbank Prize in Economic Sciences 1971,"""for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development""",1-Jan,680,Individual,Simon Kuznets,4/30/1901,Pinsk,Russian Empire (Belarus),Male,Harvard University,"Cambridge, MA",United States of America,7/8/1985,"Cambridge, MA",United States of America,yes
430,1971,Medicine,The Nobel Prize in Physiology or Medicine 1971,"""for his discoveries concerning the mechanisms of the action of hormones""",1-Jan,397,Individual,"Earl W. Sutherland, Jr.",11/19/1915,"Burlingame, KS",United States of America,Male,Vanderbilt University,"Nashville, TN",United States of America,3/9/1974,"Miami, FL",United States of America,no
432,1971,Physics,The Nobel Prize in Physics 1971,"""for his invention and development of the holographic method""",1-Jan,93,Individual,Dennis Gabor,6/5/1900,Budapest,Hungary,Male,Imperial College,London,United Kingdom,2/8/1979,London,United Kingdom,yes
433,1972,Chemistry,The Nobel Prize in Chemistry 1972,"""for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation""",2-Jan,241,Individual,Christian B. Anfinsen,3/26/1916,"Monessen, PA",United States of America,Male,National Institutes of Health,"Bethesda, MD",United States of America,5/14/1995,"Randallstown, MD",United States of America,no
434,1972,Chemistry,The Nobel Prize in Chemistry 1972,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",4-Jan,242,Individual,Stanford Moore,9/4/1913,"Chicago, IL",United States of America,Male,Rockefeller University,"New York, NY",United States of America,8/23/1982,"New York, NY",United States of America,no
435,1972,Chemistry,The Nobel Prize in Chemistry 1972,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",4-Jan,243,Individual,William H. Stein,6/25/1911,"New York, NY",United States of America,Male,Rockefeller University,"New York, NY",United States of America,2/2/1980,"New York, NY",United States of America,no
436,1972,Economics,The Sveriges Riksbank Prize in Economic Sciences 1972,"""for their pioneering contributions to general economic equilibrium theory and welfare theory""",2-Jan,681,Individual,John R. Hicks,4/8/1904,Warwick,United Kingdom,Male,All Souls College,Oxford,United Kingdom,5/20/1989,Blockley,United Kingdom,no
437,1972,Economics,The Sveriges Riksbank Prize in Economic Sciences 1972,"""for their pioneering contributions to general economic equilibrium theory and welfare theory""",2-Jan,682,Individual,Kenneth J. Arrow,8/23/1921,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,,,,no
439,1972,Medicine,The Nobel Prize in Physiology or Medicine 1972,"""for their discoveries concerning the chemical structure of antibodies""",2-Jan,398,Individual,Gerald M. Edelman,7/1/1929,"New York, NY",United States of America,Male,Rockefeller University,"New York, NY",United States of America,5/17/2014,"La Jolla, CA",United States of America,no
440,1972,Medicine,The Nobel Prize in Physiology or Medicine 1972,"""for their discoveries concerning the chemical structure of antibodies""",2-Jan,399,Individual,Rodney R. Porter,10/8/1917,Newton-le-Willows,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,9/6/1985,Winchester,United Kingdom,no
441,1972,Physics,The Nobel Prize in Physics 1972,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",3-Jan,66,Individual,John Bardeen,5/23/1908,"Madison, WI",United States of America,Male,University of Illinois,"Urbana, IL",United States of America,1/30/1991,"Boston, MA",United States of America,no
442,1972,Physics,The Nobel Prize in Physics 1972,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",3-Jan,95,Individual,Leon Neil Cooper,2/28/1930,"New York, NY",United States of America,Male,Brown University,"Providence, RI",United States of America,,,,no
443,1972,Physics,The Nobel Prize in Physics 1972,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",3-Jan,96,Individual,John Robert Schrieffer,5/31/1931,"Oak Park, IL",United States of America,Male,University of Pennsylvania,"Philadelphia, PA",United States of America,,,,no
444,1973,Chemistry,The Nobel Prize in Chemistry 1973,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",2-Jan,244,Individual,Ernst Otto Fischer,11/10/1918,Munich,Germany,Male,Technical University,Munich,Federal Republic of Germany,7/23/2007,Munich,Germany,yes
445,1973,Chemistry,The Nobel Prize in Chemistry 1973,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",2-Jan,245,Individual,Geoffrey Wilkinson,7/14/1921,Todmorden,United Kingdom,Male,Imperial College,London,United Kingdom,9/26/1996,London,United Kingdom,no
446,1973,Economics,The Sveriges Riksbank Prize in Economic Sciences 1973,"""for the development of the input-output method and for its application to important economic problems""",1-Jan,683,Individual,Wassily Leontief,8/5/1906,St. Petersburg,Russia,Male,Harvard University,"Cambridge, MA",United States of America,2/5/1999,"New York, NY",United States of America,yes
448,1973,Medicine,The Nobel Prize in Physiology or Medicine 1973,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",3-Jan,400,Individual,Karl von Frisch,1886-11-20,Vienna,Austria,Male,Zoologisches Institut der Universität München,Munich,Federal Republic of Germany,6/12/1982,Munich,West Germany (Germany),yes
449,1973,Medicine,The Nobel Prize in Physiology or Medicine 1973,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",3-Jan,401,Individual,Konrad Lorenz,11/7/1903,Vienna,Austria,Male,"Konrad-Lorenz-Institut der Österreichischen Akademie der Wissen­schaften, Forschungsstelle für Ethologie",Altenberg; Grünau im Almtal,Austria,2/27/1989,Vienna,Austria,no
